order_id,customer_id,product_id,quantity,order_date,total_usd,status
O00185,C0158,P030,1,2024-03-02,26.23,delivered
O00186,C0414,P020,3,2024-12-22,56.58,delivered
O00187,C0111,P021,1,2024-12-30,56.62,delivered
O00188,C0183,P026,1,2024-12-12,138.02,delivered
O00189,C0420,P012,1,2024-07-26,194.97,shipped
O00190,C0285,P036,1,2024-08-24,27.37,delivered
O00191,C0407,P009,1,2024-02-01,132.79,shipped
O00192,C0114,P009,1,2024-07-24,132.79,delivered
O00193,C0323,P006,2,2024-05-12,85.9,pending
O00194,C0039,P002,5,2024-04-11,1379.5,pending
O00195,C0228,P009,1,2025-03-09,132.79,shipped
O00196,C0170,P008,1,2024-08-24,272.05,delivered
O00197,C0474,P037,1,2025-01-05,32.26,delivered
O00198,C0016,P025,2,2024-03-29,299.88,delivered
O00199,C0466,P012,1,2024-08-16,194.97,shipped
O00200,C0018,P016,2,2024-09-12,20.12,delivered
O00201,C0282,P031,1,2024-05-23,45.02,delivered
O00202,C0215,P013,2,2025-02-12,91.36,delivered
O00203,C0323,P035,2,2024-07-14,68.8,shipped
O00204,C0184,P031,1,2024-09-05,45.02,delivered
O00205,C0290,P033,1,2024-05-18,43.46,delivered
O00206,C0164,P039,1,2025-02-19,21.0,shipped
O00207,C0030,P031,1,2025-01-27,45.02,delivered
O00208,C0120,P011,1,2024-12-02,462.28,delivered
O00209,C0274,P004,2,2024-04-22,861.82,delivered
O00210,C0409,P025,1,2025-03-05,149.94,cancelled
O00211,C0089,P012,1,2024-06-11,194.97,shipped
O00212,C0358,P023,4,2024-01-15,564.8,delivered
O00213,C0181,P037,2,2024-10-15,64.52,pending
O00214,C0429,P032,1,2024-03-30,28.13,delivered
O00215,C0047,P004,1,2024-04-22,430.91,delivered
O00216,C0245,P001,1,2024-11-10,197.58,delivered
O00217,C0067,P022,2,2025-02-14,274.52,shipped
O00218,C0166,P004,1,2024-10-27,430.91,delivered
O00219,C0073,P008,3,2025-03-16,816.15,delivered
O00220,C0038,P024,2,2024-12-05,227.62,delivered
O00221,C0052,P022,1,2024-03-10,137.26,cancelled
O00222,C0375,P028,2,2024-09-06,131.06,delivered
O00223,C0090,P036,2,2024-11-10,54.74,shipped
O00224,C0115,P038,3,2024-07-12,39.03,delivered
O00225,C0353,P019,1,2025-01-08,37.06,delivered
O00226,C0360,P037,1,2025-01-29,32.26,pending
O00227,C0017,P012,2,2025-02-18,389.94,pending
O00228,C0114,P037,1,2024-09-11,32.26,delivered
O00229,C0382,P005,1,2024-06-12,405.8,delivered
O00230,C0454,P006,3,2024-12-09,128.85,delivered
O00231,C0454,P022,1,2024-05-15,137.26,delivered
O00232,C0355,P005,1,2025-02-06,405.8,delivered
O00233,C0001,P004,1,2025-01-10,430.91,delivered
O00234,C0086,P027,1,2024-07-12,94.62,delivered
O00235,C0193,P007,3,2025-02-07,1453.14,shipped
O00236,C0334,P015,1,2024-02-07,43.03,shipped
O00237,C0018,P019,1,2024-05-13,37.06,pending
O00238,C0038,P022,1,2024-07-11,137.26,delivered
O00239,C0039,P036,4,2024-02-17,109.48,delivered
O00240,C0315,P031,2,2024-08-08,90.04,pending
O00241,C0085,P039,3,2024-03-21,63.0,delivered
O00242,C0170,P014,5,2024-07-28,53.4,delivered
O00243,C0370,P035,1,2024-05-24,34.4,delivered
O00244,C0050,P004,1,2024-10-08,430.91,shipped
O00245,C0079,P004,1,2024-08-06,430.91,delivered
O00246,C0422,P039,1,2024-02-19,21.0,delivered
O00247,C0088,P019,5,2024-08-30,185.3,shipped
O00248,C0158,P026,1,2024-12-04,138.02,delivered
O00249,C0329,P035,1,2024-07-08,34.4,shipped
O00250,C0190,P012,1,2024-05-14,194.97,delivered
O00251,C0135,P015,3,2024-10-15,129.09,delivered
O00252,C0386,P007,1,2024-06-25,484.38,shipped
O00253,C0212,P038,1,2024-02-01,13.01,shipped
O00254,C0420,P034,1,2024-10-01,39.95,delivered
O00255,C0480,P031,2,2024-04-30,90.04,delivered
O00256,C0041,P026,4,2024-12-31,552.08,delivered
O00257,C0293,P034,3,2024-12-12,119.85,cancelled
O00258,C0076,P008,4,2024-08-17,1088.2,delivered
O00259,C0086,P014,3,2024-03-05,32.04,delivered
O00260,C0041,P028,1,2025-02-25,65.53,delivered
O00261,C0428,P039,1,2025-01-07,21.0,pending
O00262,C0035,P006,1,2024-07-22,42.95,delivered
O00263,C0439,P018,1,2025-03-23,38.55,delivered
O00264,C0359,P038,1,2024-08-02,13.01,delivered
O00265,C0077,P010,2,2024-10-25,350.36,shipped
O00266,C0482,P007,4,2024-10-15,1937.52,shipped
O00267,C0403,P019,3,2025-03-26,111.18,delivered
O00268,C0211,P017,1,2024-09-05,17.78,delivered
O00269,C0243,P003,1,2024-07-25,426.93,delivered
O00270,C0312,P026,1,2025-03-26,138.02,delivered
O00271,C0122,P004,2,2024-05-17,861.82,shipped
O00272,C0011,P022,3,2024-06-04,411.78,delivered
O00273,C0432,P032,3,2024-12-16,84.39,delivered
O00274,C0445,P015,1,2025-01-15,43.03,delivered
O00275,C0423,P021,1,2024-08-01,56.62,delivered
O00276,C0046,P013,1,2025-02-25,45.68,delivered
O00277,C0249,P034,3,2025-02-24,119.85,delivered
O00278,C0406,P011,1,2024-12-29,462.28,delivered
O00279,C0070,P034,3,2024-01-15,119.85,delivered
O00280,C0449,P013,3,2024-05-07,137.04,delivered
O00281,C0026,P024,2,2024-05-20,227.62,delivered
O00282,C0238,P033,1,2024-03-04,43.46,delivered
O00283,C0124,P024,1,2024-08-16,113.81,delivered
O00284,C0446,P031,2,2024-06-28,90.04,delivered
O00285,C0429,P017,2,2024-12-18,35.56,delivered
O00286,C0015,P025,1,2025-03-13,149.94,delivered
O00287,C0495,P014,3,2024-11-27,32.04,delivered
O00288,C0106,P018,2,2024-09-19,77.1,delivered
O00289,C0400,P001,1,2024-03-08,197.58,delivered
O00290,C0308,P001,1,2024-11-07,197.58,shipped
O00291,C0157,P018,1,2024-07-11,38.55,shipped
O00292,C0236,P017,1,2024-06-03,17.78,delivered
O00293,C0423,P026,2,2024-01-04,276.04,delivered
O00294,C0340,P024,2,2024-10-31,227.62,delivered
O00295,C0153,P007,1,2024-06-21,484.38,cancelled
O00296,C0328,P021,3,2024-05-13,169.86,delivered
O00297,C0488,P020,1,2024-09-21,18.86,shipped
O00298,C0461,P004,3,2025-02-14,1292.73,shipped
O00299,C0207,P021,2,2025-01-04,113.24,delivered
O00300,C0255,P019,1,2024-08-02,37.06,delivered
O00301,C0378,P003,2,2024-10-19,853.86,shipped
O00302,C0176,P015,2,2024-11-22,86.06,shipped
O00303,C0465,P023,1,2025-03-08,141.2,delivered
O00304,C0337,P036,1,2024-02-19,27.37,delivered
O00305,C0380,P017,2,2024-10-13,35.56,shipped
O00306,C0094,P022,2,2024-04-23,274.52,delivered
O00307,C0382,P020,1,2024-06-18,18.86,delivered
O00308,C0300,P019,1,2024-03-01,37.06,delivered
O00309,C0444,P038,2,2024-11-13,26.02,delivered
O00310,C0456,P013,1,2025-03-20,45.68,delivered
O00311,C0272,P020,1,2025-03-21,18.86,shipped
O00312,C0071,P013,1,2024-10-18,45.68,shipped
O00313,C0235,P010,1,2025-01-01,175.18,delivered
O00314,C0042,P032,1,2024-03-31,28.13,delivered
O00315,C0030,P001,1,2024-04-17,197.58,shipped
O00316,C0087,P037,2,2024-09-07,64.52,shipped
O00317,C0400,P006,1,2024-08-10,42.95,delivered
O00318,C0207,P028,4,2024-07-15,262.12,delivered
O00319,C0274,P013,2,2024-01-08,91.36,shipped
O00320,C0388,P034,1,2024-12-12,39.95,delivered
O00321,C0376,P016,1,2025-03-25,10.06,delivered
O00322,C0067,P007,1,2024-10-28,484.38,delivered
O00323,C0034,P003,1,2024-05-28,426.93,delivered
O00324,C0267,P039,1,2024-08-10,21.0,shipped
O00325,C0069,P022,5,2024-09-07,686.3,delivered
O00326,C0097,P011,4,2025-02-19,1849.12,delivered
O00327,C0117,P015,2,2024-03-08,86.06,delivered
O00328,C0012,P038,1,2024-03-04,13.01,delivered
O00329,C0334,P003,1,2024-11-23,426.93,delivered
O00330,C0274,P004,2,2024-01-25,861.82,delivered
O00331,C0335,P002,1,2024-02-29,275.9,delivered
O00332,C0195,P008,1,2024-08-30,272.05,delivered
O00333,C0106,P001,1,2024-12-04,197.58,delivered
O00334,C0267,P018,2,2024-12-24,77.1,delivered
O00335,C0426,P007,1,2024-11-12,484.38,delivered
O00336,C0059,P007,1,2024-11-07,484.38,delivered
O00337,C0135,P034,5,2024-07-02,199.75,delivered
O00338,C0152,P011,1,2024-09-11,462.28,pending
O00339,C0353,P031,1,2024-01-02,45.02,delivered
O00340,C0046,P008,3,2024-12-08,816.15,delivered
O00341,C0487,P006,2,2024-02-08,85.9,delivered
O00342,C0052,P017,2,2024-08-21,35.56,cancelled
O00343,C0152,P017,1,2024-02-21,17.78,shipped
O00344,C0448,P003,3,2024-07-03,1280.79,shipped
O00345,C0161,P028,2,2024-02-18,131.06,shipped
O00346,C0456,P003,1,2024-03-11,426.93,delivered
O00347,C0088,P022,1,2024-08-12,137.26,pending
O00348,C0138,P006,1,2024-06-24,42.95,delivered
O00349,C0206,P026,4,2024-05-19,552.08,shipped
O00350,C0354,P031,2,2024-11-28,90.04,shipped
O00351,C0086,P008,1,2025-01-06,272.05,delivered
O00352,C0483,P011,1,2024-10-29,462.28,delivered
O00353,C0292,P029,1,2024-07-13,46.41,shipped
O00354,C0314,P002,3,2025-03-26,827.7,shipped
O00355,C0499,P009,1,2024-09-06,132.79,delivered
O00356,C0211,P029,1,2024-05-13,46.41,delivered
O00357,C0007,P034,2,2024-10-22,79.9,delivered
O00358,C0115,P022,1,2024-12-18,137.26,delivered
O00359,C0049,P028,2,2024-05-07,131.06,delivered
O00360,C0340,P025,1,2025-02-27,149.94,delivered
O00361,C0314,P004,1,2024-03-21,430.91,delivered
O00362,C0241,P032,3,2024-02-08,84.39,shipped
O00363,C0165,P016,1,2024-05-22,10.06,delivered
O00364,C0115,P036,2,2024-07-25,54.74,shipped
O00365,C0041,P030,1,2024-10-20,26.23,delivered
O00366,C0439,P032,1,2024-03-01,28.13,cancelled
O00367,C0382,P002,1,2024-07-30,275.9,delivered
O00368,C0282,P001,3,2025-02-09,592.74,delivered
O00369,C0317,P020,3,2024-10-14,56.58,delivered
O00370,C0344,P030,4,2024-07-05,104.92,shipped
O00371,C0419,P015,3,2024-06-18,129.09,delivered
O00372,C0318,P039,1,2024-12-02,21.0,delivered
O00373,C0232,P008,1,2024-12-03,272.05,delivered
O00374,C0175,P023,3,2025-02-13,423.6,delivered
O00375,C0268,P024,2,2024-01-24,227.62,shipped
O00376,C0253,P009,3,2025-01-15,398.37,delivered
O00377,C0055,P017,2,2024-04-06,35.56,delivered
O00378,C0437,P026,1,2025-02-26,138.02,shipped
O00379,C0367,P022,1,2024-07-31,137.26,delivered
O00380,C0325,P038,1,2024-08-18,13.01,delivered
O00381,C0302,P033,1,2024-09-12,43.46,delivered
O00382,C0377,P004,2,2024-08-09,861.82,shipped
O00383,C0248,P033,2,2024-03-31,86.92,delivered
O00384,C0089,P009,1,2024-12-02,132.79,delivered
O00385,C0452,P021,1,2024-07-15,56.62,delivered
O00386,C0312,P016,1,2024-06-24,10.06,cancelled
O00387,C0232,P009,1,2024-11-04,132.79,delivered
O00388,C0384,P033,1,2024-12-25,43.46,delivered
O00389,C0161,P036,2,2024-04-12,54.74,delivered
O00390,C0366,P019,2,2024-12-10,74.12,delivered
O00391,C0364,P012,1,2024-12-21,194.97,delivered
O00392,C0364,P008,2,2024-10-14,544.1,delivered
O00393,C0293,P027,2,2025-03-06,189.24,delivered
O00394,C0450,P028,3,2024-09-24,196.59,delivered
O00395,C0196,P010,1,2024-01-29,175.18,delivered
O00396,C0385,P011,5,2024-12-15,2311.4,delivered
O00397,C0430,P004,2,2024-05-31,861.82,delivered
O00398,C0278,P003,1,2024-08-19,426.93,delivered
O00399,C0445,P036,3,2025-01-15,82.11,delivered
O00400,C0200,P016,1,2025-02-11,10.06,shipped
O00401,C0148,P004,4,2024-07-17,1723.64,delivered
O00402,C0404,P021,4,2024-01-28,226.48,delivered
O00403,C0129,P013,2,2025-02-03,91.36,shipped
O00404,C0227,P015,4,2024-12-26,172.12,delivered
O00405,C0189,P038,1,2024-11-04,13.01,delivered
O00406,C0372,P013,1,2024-03-31,45.68,cancelled
O00407,C0039,P012,4,2025-01-11,779.88,delivered
O00408,C0194,P003,1,2024-10-11,426.93,delivered
O00409,C0083,P038,3,2024-01-03,39.03,delivered
O00410,C0364,P010,1,2024-06-14,175.18,delivered
O00411,C0397,P020,1,2024-10-20,18.86,delivered
O00412,C0038,P021,1,2024-04-04,56.62,delivered
O00413,C0403,P033,1,2024-10-05,43.46,delivered
O00414,C0048,P023,1,2024-04-19,141.2,delivered
O00415,C0170,P024,1,2025-01-20,113.81,delivered
O00416,C0244,P036,3,2024-11-28,82.11,delivered
O00417,C0343,P023,1,2024-11-24,141.2,delivered
O00418,C0319,P016,4,2024-12-15,40.24,shipped
O00419,C0196,P008,1,2024-10-03,272.05,delivered
O00420,C0013,P034,3,2024-07-10,119.85,delivered
O00421,C0261,P029,1,2024-05-31,46.41,shipped
O00422,C0099,P021,1,2024-02-19,56.62,delivered
O00423,C0490,P035,1,2024-11-16,34.4,delivered
O00424,C0344,P014,3,2024-08-05,32.04,shipped
O00425,C0106,P035,3,2025-03-25,103.2,cancelled
O00426,C0397,P028,2,2024-02-06,131.06,delivered
O00427,C0079,P002,1,2024-06-18,275.9,delivered
O00428,C0038,P004,1,2024-05-08,430.91,delivered
O00429,C0295,P015,4,2024-07-27,172.12,delivered
O00430,C0323,P026,1,2024-01-09,138.02,delivered
O00431,C0061,P035,1,2025-01-03,34.4,delivered
O00432,C0388,P038,1,2025-03-10,13.01,delivered
O00433,C0476,P033,1,2025-02-06,43.46,delivered
O00434,C0311,P006,1,2024-08-12,42.95,delivered
O00435,C0421,P002,1,2024-09-30,275.9,delivered
O00436,C0383,P026,2,2025-03-10,276.04,delivered
O00437,C0492,P010,1,2025-02-11,175.18,shipped
O00438,C0332,P024,4,2024-01-06,455.24,delivered
O00439,C0285,P010,1,2024-01-03,175.18,delivered
O00440,C0202,P035,1,2024-02-13,34.4,delivered
O00441,C0384,P023,1,2024-11-26,141.2,shipped
O00442,C0073,P011,1,2024-11-11,462.28,shipped
O00443,C0100,P008,1,2025-02-13,272.05,delivered
O00444,C0028,P036,1,2024-10-08,27.37,delivered
O00445,C0344,P005,1,2024-04-11,405.8,delivered
O00446,C0250,P022,1,2024-12-09,137.26,delivered
O00447,C0052,P019,2,2024-04-09,74.12,delivered
O00448,C0231,P022,2,2024-06-05,274.52,delivered
O00449,C0079,P037,2,2025-02-17,64.52,delivered
O00450,C0220,P011,1,2024-05-06,462.28,shipped
O00451,C0365,P028,1,2024-07-03,65.53,delivered
O00452,C0376,P022,3,2024-08-24,411.78,delivered
O00453,C0397,P020,1,2024-02-25,18.86,delivered
O00454,C0311,P006,3,2025-03-15,128.85,shipped
O00455,C0457,P035,1,2025-01-10,34.4,shipped
O00456,C0040,P005,3,2025-03-10,1217.4,delivered
O00457,C0016,P038,2,2025-01-28,26.02,delivered
O00458,C0465,P003,2,2024-10-05,853.86,shipped
O00459,C0277,P031,2,2024-03-17,90.04,delivered
O00460,C0115,P038,2,2024-05-28,26.02,delivered
O00461,C0257,P033,1,2024-07-05,43.46,delivered
O00462,C0340,P016,3,2025-02-16,30.18,cancelled
O00463,C0351,P011,2,2024-03-12,924.56,delivered
O00464,C0092,P037,4,2024-12-03,129.04,shipped
O00465,C0075,P031,4,2024-01-21,180.08,delivered
O00466,C0250,P015,1,2024-07-08,43.03,delivered
O00467,C0343,P014,1,2025-02-09,10.68,delivered
O00468,C0241,P030,3,2024-01-21,78.69,cancelled
O00469,C0166,P007,2,2024-09-23,968.76,delivered
O00470,C0141,P017,2,2024-10-18,35.56,delivered
O00471,C0335,P025,1,2024-11-30,149.94,shipped
O00472,C0040,P034,1,2024-04-24,39.95,delivered
O00473,C0181,P023,1,2024-09-03,141.2,shipped
O00474,C0004,P033,3,2024-08-13,130.38,delivered
O00475,C0040,P033,2,2024-04-18,86.92,delivered
O00476,C0081,P024,2,2025-02-22,227.62,delivered
O00477,C0118,P027,3,2025-01-03,283.86,delivered
O00478,C0346,P031,1,2024-10-29,45.02,delivered
O00479,C0427,P027,1,2024-01-23,94.62,delivered
O00480,C0304,P011,1,2024-09-19,462.28,delivered
O00481,C0294,P010,1,2024-05-12,175.18,pending
O00482,C0265,P026,2,2024-10-15,276.04,delivered
O00483,C0450,P019,4,2024-04-20,148.24,delivered
O00484,C0242,P031,1,2025-03-01,45.02,delivered
O00485,C0074,P038,3,2024-04-03,39.03,delivered
O00486,C0262,P017,1,2024-12-17,17.78,delivered
O00487,C0233,P039,2,2024-04-27,42.0,delivered
O00488,C0068,P007,1,2024-09-24,484.38,shipped
O00489,C0259,P027,3,2024-11-06,283.86,delivered
O00490,C0244,P039,1,2025-02-05,21.0,delivered
O00491,C0386,P008,1,2024-12-03,272.05,delivered
O00492,C0309,P035,3,2025-01-31,103.2,delivered
O00493,C0221,P034,1,2025-03-23,39.95,delivered
O00494,C0272,P028,1,2025-02-14,65.53,delivered
O00495,C0394,P025,1,2025-02-15,149.94,delivered
O00496,C0390,P037,1,2024-03-09,32.26,delivered
O00497,C0393,P015,4,2024-02-12,172.12,delivered
