date,open,high,low,close,volume
2025-03-18,76.92,78.46,75.02,76.88,777966
2025-03-19,76.96,78.75,76.63,77.0,1122867
2025-03-20,76.9,77.38,75.07,76.55,1078335
2025-03-21,78.52,79.61,76.43,77.95,839948
2025-03-24,77.14,77.88,77.5,77.74,744430
2025-03-25,75.23,77.38,74.82,75.79,1149055
2025-03-26,76.26,77.13,74.86,76.02,954568
2025-03-27,75.19,75.67,73.23,75.08,1191481
2025-03-28,71.82,73.05,71.12,72.28,1057771
2025-03-31,72.15,72.34,70.99,71.75,991658
2025-04-01,73.49,74.72,72.07,73.33,706212
2025-04-02,73.18,73.58,71.73,72.82,931524
2025-04-03,74.75,74.89,73.7,74.65,1350453
2025-04-04,76.39,77.2,76.24,76.42,991169
2025-04-07,69.17,70.51,69.12,69.48,1041494
2025-04-08,69.04,69.24,68.14,68.38,915167
2025-04-09,70.86,71.74,69.92,70.99,1217379
2025-04-10,69.78,71.78,69.47,70.42,864607
2025-04-11,71.09,71.25,69.38,70.65,1240585
2025-04-14,72.99,73.66,72.19,72.83,1175111
2025-04-15,73.72,75.19,72.7,73.76,840394
2025-04-16,73.52,75.06,74.08,74.2,1058469
2025-04-17,74.28,74.71,72.79,74.08,1053657
2025-04-18,73.37,73.27,71.37,73.03,835449
2025-04-21,76.76,78.16,77.36,77.48,803347
2025-04-22,78.56,78.69,77.87,77.96,972096
2025-04-23,79.39,79.33,78.25,79.16,909005
2025-04-24,80.39,81.42,79.47,79.61,925525
2025-04-25,79.25,81.08,78.77,79.49,1202270
2025-04-28,81.45,82.52,80.59,80.84,1137320
2025-04-29,78.93,80.48,77.01,78.51,690417
2025-04-30,77.12,79.61,77.43,77.7,1112108
2025-05-01,78.21,78.18,77.39,78.05,959821
2025-05-02,80.09,79.55,77.52,79.43,930649
2025-05-05,72.59,73.99,72.19,73.3,1166210
2025-05-06,72.96,74.19,72.53,73.04,874832
2025-05-07,71.11,71.96,70.4,71.36,900337
2025-05-08,70.57,71.49,68.78,70.3,1166970
2025-05-09,71.63,73.18,70.8,71.54,1022388
2025-05-12,72.0,72.22,70.41,71.7,1081035
2025-05-13,70.42,71.96,69.39,70.64,870252
2025-05-14,70.4,71.6,68.55,70.15,971724
2025-05-15,71.36,71.04,70.24,70.87,1107224
2025-05-16,69.2,69.51,67.56,68.78,509692
2025-05-19,70.74,71.7,70.62,71.16,842978
2025-05-20,72.69,73.43,71.32,72.34,759823
2025-05-21,74.54,74.58,72.29,74.13,688360
2025-05-22,74.18,75.14,73.37,73.66,1283785
2025-05-23,73.82,74.81,72.0,73.36,868482
2025-05-26,79.49,79.82,78.68,78.87,1009844
2025-05-27,77.54,77.34,76.52,77.07,956603
2025-05-28,75.78,77.75,75.26,76.37,650564
2025-05-29,78.21,79.37,77.73,77.97,872186
2025-05-30,76.12,76.8,75.65,76.39,1247076
2025-06-02,75.07,76.79,73.51,75.17,1126289
2025-06-03,76.44,77.2,74.94,76.84,970226
2025-06-04,77.52,79.54,76.37,77.93,1079206
2025-06-05,80.73,81.3,79.7,81.08,863930
2025-06-06,82.43,83.56,81.76,82.38,1247205
2025-06-09,83.25,84.9,83.04,83.34,876669
2025-06-10,85.69,86.26,83.82,85.1,851354
2025-06-11,83.9,84.63,82.17,83.8,845639
2025-06-12,83.0,82.67,80.9,82.32,1299944
2025-06-13,80.96,80.77,78.94,80.47,890315
2025-06-16,83.53,84.38,81.48,82.78,731875
2025-06-17,82.39,84.35,82.3,83.02,936111
2025-06-18,82.81,84.48,80.8,82.83,1238610
2025-06-19,81.4,81.94,80.83,81.25,832206
2025-06-20,81.62,82.96,81.23,81.33,850122
2025-06-23,82.97,84.37,83.35,83.76,938137
2025-06-24,81.02,82.01,80.0,80.92,1292624
2025-06-25,79.43,79.58,77.86,79.25,975125
2025-06-26,78.44,79.22,76.66,77.86,648420
2025-06-27,77.54,77.36,76.3,77.21,694408
2025-06-30,75.62,75.48,73.87,75.19,738878
2025-07-01,75.84,76.54,73.72,75.25,864505
2025-07-02,78.28,78.56,77.65,78.28,1146937
2025-07-03,79.52,80.16,78.12,79.17,1362771
2025-07-04,79.14,81.79,78.08,79.91,975442
2025-07-07,86.23,88.1,85.1,85.98,1019159
2025-07-08,85.74,85.96,83.82,85.47,929272
2025-07-09,85.1,85.65,85.1,85.45,941627
2025-07-10,85.08,85.45,83.68,85.36,1002500
2025-07-11,84.41,85.2,83.26,84.7,1052161
2025-07-14,83.92,83.72,81.78,83.6,938158
2025-07-15,86.49,87.16,85.76,86.35,912784
2025-07-16,87.4,88.61,86.09,87.08,955791
2025-07-17,87.43,88.34,85.39,86.65,816526
2025-07-18,87.6,88.13,86.71,87.06,1057631
2025-07-21,86.3,86.82,84.05,85.98,1099068
2025-07-22,84.68,86.02,83.33,83.96,907759
2025-07-23,87.86,89.07,86.97,88.45,1083320
2025-07-24,89.19,90.05,88.58,88.72,1056024
2025-07-25,86.56,87.42,84.72,86.66,609063
2025-07-28,90.87,92.25,91.31,91.6,1237003
2025-07-29,91.71,93.07,90.08,91.38,745938
2025-07-30,89.03,90.72,89.05,89.85,1258296
2025-07-31,89.79,92.16,89.62,90.32,902980
2025-08-01,85.67,86.96,86.26,86.36,954279
2025-08-04,85.6,86.36,83.9,85.6,960536
2025-08-05,86.11,88.0,86.62,86.92,1178878
2025-08-06,87.13,87.93,85.42,86.59,666662
2025-08-07,86.32,86.55,85.86,86.33,797616
2025-08-08,84.79,84.76,82.78,84.61,1089763
2025-08-11,86.41,87.7,85.53,87.24,1168449
2025-08-12,88.28,89.34,85.66,87.58,1120995
2025-08-13,85.49,87.05,85.29,85.58,1286921
2025-08-14,89.15,88.84,87.45,88.56,936426
2025-08-15,89.29,90.8,88.75,88.94,1384365
2025-08-18,88.16,88.6,86.07,88.01,422655
2025-08-19,86.21,87.42,85.67,85.76,1099937
2025-08-20,87.07,88.58,85.61,86.44,1251971
2025-08-21,86.87,89.14,86.85,87.08,893846
2025-08-22,88.57,90.34,88.38,89.09,789338
2025-08-25,89.87,91.3,89.03,89.76,944509
2025-08-26,92.46,93.03,91.59,92.65,748840
2025-08-27,91.8,92.83,90.18,92.1,1265293
2025-08-28,92.12,93.46,90.95,93.0,1377922
2025-08-29,93.32,94.29,93.81,94.17,1123617
2025-09-01,95.36,94.8,93.11,94.48,1076839
2025-09-02,94.83,96.32,93.08,94.33,907482
2025-09-03,98.11,100.26,96.71,98.06,1202951
2025-09-04,96.92,99.62,96.73,97.19,1195953
2025-09-05,95.35,97.76,95.04,95.45,1264965
2025-09-08,96.11,95.99,94.45,95.75,1162205
2025-09-09,94.48,96.06,93.2,94.9,1458113
2025-09-10,94.84,96.38,93.13,95.14,1171537
2025-09-11,95.53,95.66,94.93,95.41,653470
2025-09-12,96.77,98.83,96.38,97.17,1119395
2025-09-15,99.13,100.56,98.48,98.65,992246
2025-09-16,100.55,100.91,98.04,100.39,731348
2025-09-17,98.08,100.45,96.85,98.44,829882
2025-09-18,95.73,98.06,95.56,96.01,1053469
2025-09-19,98.3,100.4,96.97,99.29,1050682
2025-09-22,101.38,101.74,98.7,100.38,1146813
2025-09-23,99.26,102.0,99.25,99.62,1153070
2025-09-24,99.83,100.57,99.36,100.07,1450698
2025-09-25,98.71,100.39,96.69,98.16,907275
2025-09-26,98.84,100.58,99.01,99.84,995826
2025-09-29,98.57,100.0,96.88,98.9,651252
2025-09-30,99.11,101.81,99.07,99.97,666247
2025-10-01,99.21,99.74,96.42,98.26,1059710
2025-10-02,96.5,97.74,95.06,96.93,1054559
2025-10-03,97.92,98.92,96.84,97.12,1158798
2025-10-06,97.84,98.99,95.21,97.17,1130900
2025-10-07,96.02,97.63,95.3,95.95,840361
2025-10-08,96.52,98.88,97.09,97.3,1181819
2025-10-09,94.22,97.42,92.97,95.13,687892
2025-10-10,97.53,96.96,94.44,96.74,1188339
2025-10-13,97.28,99.28,97.34,97.95,1235291
2025-10-14,95.98,97.74,95.45,96.73,649712
2025-10-15,98.37,98.04,95.73,97.86,846356
2025-10-16,97.06,98.01,97.62,97.87,1017904
2025-10-17,97.35,100.07,97.36,97.77,1013440
2025-10-20,97.37,98.96,96.63,98.08,1425959
2025-10-21,100.06,101.99,98.77,99.68,1212067
2025-10-22,100.82,103.11,98.85,101.1,974945
2025-10-23,102.8,105.76,101.06,103.53,1200848
2025-10-24,101.13,102.72,100.25,101.61,794871
2025-10-27,100.95,101.91,100.03,100.63,912696
2025-10-28,102.97,102.93,101.2,102.56,528894
2025-10-29,101.27,103.72,101.92,102.1,1130015
2025-10-30,104.64,105.56,102.89,104.48,938207
2025-10-31,103.44,103.77,102.75,102.96,933531
2025-11-03,99.28,101.71,99.48,100.02,1055597
2025-11-04,99.58,99.88,98.45,98.98,1210665
2025-11-05,93.82,94.92,90.88,92.95,976818
2025-11-06,94.61,93.93,91.72,93.69,1074756
2025-11-07,94.02,95.79,92.87,94.42,1163551
2025-11-10,94.6,95.3,94.08,94.25,757882
2025-11-11,96.18,98.94,95.25,97.0,602892
2025-11-12,93.86,94.52,93.77,93.97,973920
2025-11-13,93.12,94.02,91.64,93.53,1237544
2025-11-14,93.19,94.58,91.97,93.83,744757
2025-11-17,92.71,94.41,91.51,93.61,928170
2025-11-18,95.9,97.71,95.27,95.83,1060430
2025-11-19,96.31,96.67,93.8,95.86,1333536
2025-11-20,91.89,92.8,92.44,92.69,1217533
2025-11-21,92.18,94.02,91.68,93.11,1330288
2025-11-24,98.54,100.61,98.18,98.56,996197
2025-11-25,95.65,97.21,93.46,95.67,922100
2025-11-26,93.06,93.76,91.55,92.93,793721
2025-11-27,96.22,97.46,93.82,95.3,1014353
2025-11-28,94.44,95.34,91.68,93.8,1323827
2025-12-01,92.16,93.29,91.79,91.91,1087730
2025-12-02,93.55,94.55,91.92,93.68,1097783
2025-12-03,92.72,93.12,90.22,91.99,1079814
2025-12-04,95.58,96.67,93.63,94.73,1007097
2025-12-05,96.14,97.68,96.05,96.41,752072
2025-12-08,96.18,97.54,95.06,96.19,632488
2025-12-09,95.98,96.61,95.55,95.81,1347841
2025-12-10,94.38,96.21,94.19,94.38,787717
2025-12-11,96.98,97.38,95.62,97.02,954551
2025-12-12,99.82,101.25,97.57,98.89,1171508
2025-12-15,105.82,105.05,104.56,104.92,1096201
2025-12-16,101.63,102.37,99.8,102.2,794602
2025-12-17,100.16,102.45,99.9,101.1,999769
2025-12-18,101.72,103.48,99.74,101.92,741813
2025-12-19,105.35,106.7,104.23,104.33,948594
2025-12-22,104.94,106.46,103.06,104.63,1186255
2025-12-23,107.17,108.02,106.0,107.12,775766
2025-12-24,109.4,109.81,107.7,108.79,533195
2025-12-25,107.78,108.69,106.16,106.92,1080188
2025-12-26,105.03,105.66,104.0,105.01,1167484
2025-12-29,105.18,106.58,104.15,104.67,1231185
2025-12-30,106.32,107.56,105.37,105.62,1210421
2025-12-31,106.22,108.53,105.86,106.83,822735
