customer_id,gender,age,senior,tenure_months,monthly_charge,total_charge,num_support_calls,contract_type,payment_method,internet_service,churned
C0086,F,34,0,13,85.64,1229.6,3,yearly,credit_card,fiber,0
C0087,M,54,0,5,50.83,219.59,0,monthly,bank_transfer,fiber,0
C0088,F,46,0,45,73.81,3270.38,1,yearly,bank_transfer,dsl,0
C0089,F,34,0,9,74.91,541.87,1,monthly,credit_card,fiber,1
C0090,M,49,0,15,46.04,620.62,4,yearly,mailed_check,fiber,0
C0091,M,43,0,47,112.58,5770.57,1,yearly,electronic_check,fiber,0
C0092,M,55,0,19,96.93,2203.97,4,monthly,credit_card,fiber,1
C0093,M,32,0,2,69.48,116.68,0,yearly,credit_card,fiber,0
C0094,F,37,0,56,75.67,4070.55,3,monthly,credit_card,fiber,0
C0095,M,36,0,19,80.21,1706.91,1,yearly,credit_card,no,0
C0096,F,21,0,8,23.96,168.99,2,monthly,credit_card,fiber,0
C0097,M,46,0,2,68.82,140.67,4,monthly,bank_transfer,dsl,1
C0098,M,45,0,31,57.95,1963.93,2,two_year,credit_card,fiber,0
C0099,M,42,0,19,49.96,993.28,1,monthly,credit_card,fiber,0
C0100,M,38,0,15,67.97,892.32,1,yearly,mailed_check,no,1
C0101,F,22,0,44,119.94,4972.08,2,monthly,electronic_check,fiber,1
C0102,F,36,0,31,91.02,3141.92,1,monthly,mailed_check,no,0
C0103,M,37,0,3,60.72,186.11,2,monthly,credit_card,fiber,0
C0104,F,30,0,7,89.31,501.44,1,yearly,credit_card,dsl,0
C0105,F,39,0,5,109.98,607.31,2,monthly,bank_transfer,dsl,0
C0106,M,47,0,27,98.12,2156.81,0,monthly,credit_card,no,1
C0107,M,68,1,1,76.49,84.01,1,monthly,credit_card,dsl,1
C0108,F,44,0,16,58.83,829.26,4,monthly,electronic_check,dsl,0
C0109,F,45,0,28,92.46,3063.24,3,two_year,bank_transfer,fiber,0
C0110,F,40,0,41,84.84,3294.7,2,two_year,bank_transfer,fiber,0
C0111,F,18,0,8,97.38,725.11,2,monthly,bank_transfer,no,0
C0112,M,41,0,34,90.88,2655.96,1,yearly,bank_transfer,fiber,0
C0113,M,42,0,2,101.24,186.74,5,monthly,credit_card,fiber,0
C0114,F,76,1,37,61.62,2623.44,0,yearly,credit_card,dsl,1
C0115,M,39,0,2,107.93,258.72,2,yearly,credit_card,fiber,0
C0116,F,46,0,10,79.94,757.29,3,two_year,credit_card,no,0
C0117,F,41,0,31,126.88,3852.43,1,monthly,mailed_check,dsl,0
C0118,M,25,0,3,57.77,188.7,2,yearly,bank_transfer,dsl,0
C0119,F,57,0,5,118.4,683.45,4,monthly,electronic_check,no,1
C0120,F,52,0,25,79.95,2073.14,3,two_year,credit_card,fiber,0
C0121,M,53,0,25,58.71,1404.06,2,monthly,credit_card,fiber,1
C0122,M,29,0,20,62.9,1214.03,1,yearly,credit_card,dsl,0
C0123,F,61,0,23,66.99,1661.33,3,yearly,credit_card,fiber,1
C0124,F,22,0,15,85.6,1028.85,2,yearly,credit_card,dsl,0
C0125,M,50,0,5,88.07,461.41,1,monthly,electronic_check,no,1
C0126,F,72,1,8,60.66,457.23,0,two_year,electronic_check,fiber,0
C0127,F,28,0,4,74.39,332.58,0,monthly,bank_transfer,fiber,0
C0128,M,34,0,47,128.56,5058.61,2,yearly,bank_transfer,no,0
C0129,M,43,0,17,118.19,2080.12,0,monthly,mailed_check,fiber,1
C0130,M,34,0,10,85.91,852.56,1,monthly,credit_card,dsl,1
C0131,M,20,0,12,75.95,963.29,0,monthly,credit_card,fiber,0
C0132,M,42,0,58,78.0,3736.56,0,monthly,credit_card,no,0
C0133,M,27,0,3,90.34,279.69,2,monthly,electronic_check,dsl,0
C0134,F,48,0,17,49.43,860.98,2,monthly,mailed_check,dsl,1
C0135,F,29,0,14,68.57,983.27,4,monthly,credit_card,dsl,0
C0136,M,63,0,18,33.29,624.02,4,yearly,electronic_check,fiber,1
C0137,M,31,0,1,84.98,90.98,0,two_year,electronic_check,fiber,0
C0138,F,37,0,41,91.18,4194.45,2,monthly,credit_card,dsl,0
C0139,F,53,0,53,62.92,3027.72,1,monthly,credit_card,fiber,0
C0140,F,24,0,16,114.35,2067.48,2,monthly,bank_transfer,dsl,0
C0141,M,45,0,23,44.36,1019.57,1,monthly,mailed_check,no,0
C0142,M,60,0,51,38.39,1626.66,0,yearly,credit_card,dsl,0
C0143,F,19,0,24,80.61,1593.02,4,yearly,electronic_check,dsl,0
C0144,M,44,0,3,101.18,283.41,4,monthly,credit_card,dsl,0
C0145,M,45,0,17,117.1,2217.56,1,monthly,electronic_check,dsl,1
C0146,M,52,0,18,63.53,1238.54,1,monthly,bank_transfer,fiber,1
C0147,F,24,0,11,101.97,1251.16,3,yearly,bank_transfer,fiber,0
C0148,F,23,0,26,74.04,1938.34,6,two_year,electronic_check,fiber,0
C0149,M,49,0,54,70.68,3725.42,1,monthly,electronic_check,dsl,0
C0150,M,46,0,51,97.09,4253.32,1,monthly,electronic_check,dsl,0
C0151,M,45,0,11,91.31,935.38,3,two_year,credit_card,dsl,0
C0152,M,46,0,2,35.59,69.3,3,two_year,electronic_check,fiber,0
C0153,M,32,0,72,111.91,6731.58,1,monthly,credit_card,dsl,0
C0154,F,45,0,36,109.5,3501.46,2,monthly,bank_transfer,fiber,0
C0155,M,46,0,2,59.36,123.38,2,monthly,bank_transfer,dsl,0
C0156,M,31,0,50,84.9,4645.16,1,yearly,bank_transfer,dsl,0
C0157,M,68,1,40,87.35,4190.49,2,monthly,bank_transfer,fiber,0
C0158,F,48,0,14,81.52,1339.0,2,monthly,mailed_check,fiber,1
C0159,F,25,0,17,61.24,1100.45,2,yearly,credit_card,dsl,0
C0160,M,51,0,10,58.21,563.76,2,monthly,electronic_check,dsl,0
C0161,F,28,0,1,74.36,78.41,2,yearly,credit_card,fiber,1
C0162,F,53,0,8,104.32,929.92,1,monthly,credit_card,no,1
C0163,F,58,0,32,88.59,2402.09,1,monthly,credit_card,dsl,0
C0164,F,30,0,1,65.73,63.36,5,yearly,mailed_check,no,1
C0165,F,55,0,8,94.29,856.85,3,monthly,electronic_check,fiber,1
C0166,F,47,0,10,20.0,190.71,3,two_year,mailed_check,dsl,1
C0167,M,53,0,15,103.72,1600.53,1,monthly,mailed_check,no,0
C0168,F,68,1,50,31.51,1630.81,2,monthly,credit_card,dsl,0
C0169,F,38,0,8,65.94,460.94,7,yearly,credit_card,dsl,1
C0170,M,31,0,8,47.01,355.36,2,monthly,electronic_check,fiber,1
C0171,M,29,0,26,42.63,1035.01,2,two_year,bank_transfer,fiber,0
C0172,M,30,0,12,104.02,1011.67,3,monthly,bank_transfer,fiber,1
C0173,M,40,0,5,63.31,256.3,0,monthly,credit_card,fiber,1
C0174,F,46,0,12,83.66,1137.12,2,monthly,bank_transfer,fiber,1
C0175,F,45,0,3,73.83,201.38,2,monthly,bank_transfer,fiber,0
C0176,F,53,0,3,86.93,262.68,2,yearly,credit_card,no,0
C0177,F,42,0,13,76.92,919.45,1,yearly,bank_transfer,fiber,0
C0178,M,62,0,10,42.93,504.97,2,monthly,bank_transfer,dsl,0
C0179,F,38,0,49,99.91,4424.24,1,monthly,bank_transfer,dsl,0
C0180,F,80,1,9,62.66,548.07,2,yearly,credit_card,dsl,0
C0181,M,50,0,17,36.09,705.0,2,two_year,electronic_check,fiber,0
C0182,F,29,0,20,64.3,1461.89,5,monthly,credit_card,dsl,0
C0183,F,27,0,1,112.52,98.39,2,monthly,credit_card,dsl,1
C0184,F,48,0,21,96.26,2266.17,2,monthly,electronic_check,dsl,1
C0185,F,38,0,3,66.28,195.51,1,two_year,bank_transfer,dsl,0
C0186,M,51,0,64,66.27,4212.39,1,monthly,credit_card,no,0
C0187,M,48,0,3,66.96,171.43,0,monthly,electronic_check,dsl,0
C0188,M,40,0,10,126.92,1056.28,0,yearly,bank_transfer,fiber,0
C0189,M,30,0,1,84.55,92.26,2,monthly,electronic_check,dsl,0
C0190,M,20,0,72,85.75,6165.26,4,monthly,electronic_check,fiber,0
C0191,F,35,0,13,100.76,1276.79,2,monthly,bank_transfer,no,0
C0192,F,53,0,18,80.97,1591.26,5,monthly,bank_transfer,fiber,0
C0193,M,44,0,1,68.52,75.8,1,monthly,credit_card,fiber,0
C0194,M,24,0,27,70.09,1634.23,1,monthly,credit_card,dsl,0
C0195,M,44,0,4,73.21,305.75,2,monthly,bank_transfer,dsl,0
C0196,F,47,0,45,74.07,2846.98,0,yearly,bank_transfer,fiber,0
C0197,M,29,0,4,93.19,410.24,0,yearly,bank_transfer,dsl,0
C0198,F,44,0,4,76.3,324.36,4,yearly,credit_card,no,1
C0199,F,42,0,1,93.32,110.36,3,monthly,credit_card,fiber,0
C0200,F,25,0,12,72.98,724.76,1,monthly,bank_transfer,no,0
C0201,F,47,0,16,76.97,1013.32,2,monthly,credit_card,fiber,1
C0202,M,49,0,1,25.04,22.86,0,monthly,electronic_check,dsl,0
C0203,F,57,0,29,97.91,2568.75,0,monthly,credit_card,dsl,0
C0204,F,56,0,12,83.66,902.31,1,yearly,bank_transfer,fiber,0
C0205,M,22,0,14,99.95,1626.69,2,monthly,mailed_check,fiber,1
C0206,F,28,0,11,20.0,197.96,2,monthly,credit_card,fiber,0
C0207,F,49,0,10,127.21,1156.06,1,monthly,bank_transfer,dsl,0
C0208,F,49,0,16,71.51,1262.88,0,yearly,credit_card,dsl,0
C0209,M,49,0,3,102.7,301.91,3,monthly,bank_transfer,dsl,1
C0210,F,80,1,4,49.0,217.69,3,yearly,bank_transfer,fiber,0
C0211,F,49,0,39,90.32,2910.08,3,monthly,bank_transfer,fiber,0
C0212,M,57,0,58,48.66,2808.25,5,two_year,bank_transfer,fiber,0
C0213,M,55,0,9,59.41,434.94,2,two_year,electronic_check,fiber,1
C0214,F,51,0,6,122.85,608.15,2,monthly,credit_card,dsl,1
C0215,F,37,0,20,70.23,1632.95,3,monthly,credit_card,no,0
C0216,M,52,0,10,80.44,688.32,2,monthly,electronic_check,dsl,0
C0217,F,31,0,1,96.75,98.0,2,monthly,bank_transfer,fiber,0
C0218,M,38,0,3,87.39,252.85,2,yearly,electronic_check,no,1
C0219,F,35,0,25,78.76,1848.77,6,yearly,bank_transfer,dsl,0
C0220,M,43,0,21,84.12,2049.05,4,yearly,electronic_check,no,1
C0221,F,74,1,1,135.09,109.25,1,yearly,bank_transfer,dsl,0
C0222,M,18,0,5,73.56,391.9,6,monthly,electronic_check,fiber,1
C0223,M,51,0,5,80.03,474.32,1,monthly,mailed_check,fiber,1
C0224,M,19,0,22,101.27,2281.56,3,yearly,bank_transfer,dsl,0
C0225,M,35,0,1,102.64,120.57,1,monthly,credit_card,fiber,1
C0226,M,57,0,2,104.68,171.86,3,yearly,credit_card,fiber,0
C0227,F,42,0,32,90.97,2816.48,4,monthly,credit_card,dsl,1
C0228,F,26,0,3,46.42,125.9,3,monthly,credit_card,dsl,1
C0229,M,31,0,21,115.84,2657.24,3,two_year,credit_card,dsl,0
C0230,F,51,0,5,46.34,276.31,2,monthly,bank_transfer,fiber,1
C0231,F,31,0,2,82.57,149.06,4,two_year,bank_transfer,fiber,0
C0232,F,45,0,5,56.14,298.01,4,two_year,bank_transfer,dsl,0
C0233,F,42,0,25,73.4,1613.4,1,yearly,bank_transfer,no,0
C0234,F,32,0,38,83.22,3245.0,2,yearly,credit_card,dsl,0
C0235,F,72,1,35,83.03,2864.12,2,yearly,credit_card,no,0
C0236,M,50,0,10,85.55,1017.02,2,two_year,credit_card,dsl,0
C0237,F,18,0,22,115.34,2647.63,2,monthly,bank_transfer,dsl,0
C0238,F,44,0,4,86.34,324.57,2,monthly,credit_card,fiber,0
C0239,F,32,0,6,68.9,349.59,4,yearly,credit_card,dsl,0
C0240,M,53,0,45,99.1,3837.39,1,monthly,bank_transfer,dsl,0
C0241,F,30,0,1,104.74,93.23,1,monthly,electronic_check,dsl,0
C0242,F,40,0,1,44.31,39.9,1,monthly,credit_card,dsl,1
C0243,F,49,0,4,89.94,410.22,2,yearly,bank_transfer,dsl,0
C0244,M,54,0,1,92.53,94.8,1,two_year,electronic_check,fiber,0
C0245,F,25,0,4,67.56,272.77,1,monthly,electronic_check,dsl,1
C0246,M,37,0,17,109.39,1573.08,3,two_year,mailed_check,fiber,0
C0247,F,35,0,10,71.25,815.14,2,yearly,credit_card,dsl,1
C0248,M,32,0,44,78.14,3744.59,1,yearly,credit_card,fiber,0
C0249,M,66,1,34,70.67,1987.26,1,yearly,electronic_check,fiber,0
C0250,M,47,0,8,75.39,653.26,3,yearly,bank_transfer,fiber,0
C0251,F,24,0,6,47.59,290.51,0,monthly,bank_transfer,dsl,1
C0252,M,54,0,9,39.0,292.27,2,yearly,electronic_check,fiber,0
C0253,M,71,1,17,114.86,1920.05,3,monthly,electronic_check,fiber,0
C0254,M,56,0,6,53.83,321.0,0,two_year,mailed_check,dsl,0
C0255,M,20,0,19,50.22,826.62,3,two_year,mailed_check,fiber,0
C0256,F,35,0,10,21.17,249.44,2,monthly,electronic_check,no,1
C0257,F,59,0,16,59.03,1076.7,3,monthly,credit_card,no,0
C0258,F,32,0,11,41.92,492.3,2,yearly,electronic_check,dsl,0
C0259,F,48,0,6,116.05,685.8,2,monthly,credit_card,fiber,1
C0260,M,52,0,59,100.25,5706.0,3,two_year,credit_card,dsl,0
C0261,F,29,0,28,57.8,1716.13,2,monthly,electronic_check,fiber,1
C0262,M,41,0,3,131.31,401.09,3,monthly,credit_card,dsl,1
C0263,F,18,0,40,99.54,3284.46,2,two_year,credit_card,fiber,0
C0264,F,27,0,13,66.88,873.79,0,yearly,credit_card,no,0
C0265,F,38,0,44,20.0,987.85,1,yearly,electronic_check,fiber,0
C0266,M,24,0,32,132.27,4163.63,3,monthly,bank_transfer,dsl,0
C0267,F,64,0,11,40.26,363.49,2,yearly,electronic_check,dsl,0
C0268,F,21,0,1,33.87,37.75,3,yearly,credit_card,dsl,0
C0269,F,35,0,6,100.56,531.29,1,yearly,electronic_check,fiber,0
C0270,M,43,0,15,135.99,1842.9,2,yearly,electronic_check,no,1
C0271,F,62,0,20,109.61,1898.19,0,yearly,credit_card,dsl,0
C0272,F,21,0,5,89.1,415.24,1,monthly,bank_transfer,dsl,0
C0273,M,58,0,3,89.87,297.3,1,monthly,credit_card,fiber,1
C0274,M,42,0,36,96.34,3495.13,0,yearly,mailed_check,dsl,0
C0275,F,28,0,72,93.97,5967.15,4,monthly,bank_transfer,fiber,0
C0276,F,48,0,14,82.03,1321.98,6,yearly,mailed_check,fiber,0
C0277,F,44,0,3,77.61,268.18,4,monthly,credit_card,fiber,1
C0278,M,33,0,6,73.44,505.96,3,yearly,electronic_check,dsl,0
C0279,M,42,0,1,56.15,50.28,1,yearly,electronic_check,fiber,0
C0280,M,36,0,49,67.98,3266.05,4,monthly,electronic_check,fiber,0
C0281,F,43,0,2,32.68,78.04,2,monthly,mailed_check,dsl,1
C0282,M,51,0,17,72.54,1367.36,3,monthly,credit_card,dsl,0
C0283,F,64,0,6,50.29,244.67,2,yearly,credit_card,fiber,0
C0284,M,24,0,16,47.41,626.63,0,yearly,electronic_check,dsl,0
C0285,M,71,1,21,79.5,1645.41,2,monthly,electronic_check,fiber,0
C0286,M,18,0,35,109.8,4472.05,2,yearly,bank_transfer,fiber,0
C0287,F,39,0,4,97.96,397.91,3,monthly,credit_card,fiber,1
C0288,F,50,0,1,35.74,35.71,1,monthly,bank_transfer,dsl,1
C0289,F,45,0,2,50.26,84.66,0,two_year,credit_card,fiber,1
C0290,F,33,0,46,98.52,4816.13,1,monthly,bank_transfer,fiber,0
C0291,M,39,0,41,50.44,2334.49,3,monthly,bank_transfer,fiber,0
C0292,F,35,0,18,69.38,1189.11,1,monthly,electronic_check,dsl,1
C0293,M,33,0,18,88.75,1773.62,1,monthly,credit_card,fiber,0
C0294,F,53,0,21,50.79,1264.75,2,monthly,bank_transfer,fiber,1
C0295,F,46,0,3,77.63,205.29,5,monthly,credit_card,fiber,1
C0296,M,32,0,49,41.65,2059.89,4,yearly,credit_card,fiber,0
C0297,M,54,0,10,59.97,548.64,2,monthly,electronic_check,dsl,0
C0298,F,46,0,9,82.99,834.4,2,monthly,mailed_check,dsl,0
C0299,F,53,0,14,35.18,507.81,5,monthly,credit_card,fiber,0
C0300,M,50,0,1,86.01,90.64,1,monthly,electronic_check,fiber,1
C0301,M,30,0,3,74.51,250.17,2,yearly,electronic_check,fiber,0
C0302,M,34,0,26,88.81,2212.98,1,two_year,electronic_check,fiber,0
C0303,M,52,0,1,80.6,93.98,3,monthly,credit_card,fiber,1
C0304,M,50,0,18,109.1,1989.74,0,two_year,mailed_check,dsl,1
C0305,F,41,0,5,78.13,337.2,0,yearly,credit_card,no,0
C0306,F,43,0,9,64.26,623.66,2,yearly,credit_card,no,0
C0307,F,59,0,6,78.06,523.3,1,monthly,credit_card,no,0
C0308,F,33,0,8,88.58,656.7,1,monthly,bank_transfer,dsl,1
C0309,M,49,0,25,76.22,2177.74,2,monthly,credit_card,dsl,0
C0310,M,39,0,7,76.01,618.51,1,yearly,credit_card,fiber,0
C0311,M,38,0,16,57.45,837.17,2,monthly,credit_card,dsl,1
C0312,F,57,0,12,58.43,836.77,2,two_year,electronic_check,dsl,0
C0313,M,53,0,21,39.93,718.02,3,monthly,electronic_check,dsl,1
C0314,M,53,0,55,118.74,5752.28,3,monthly,credit_card,dsl,0
C0315,F,60,0,26,43.9,997.23,1,yearly,electronic_check,fiber,0
C0316,F,42,0,4,57.68,267.08,1,monthly,electronic_check,fiber,1
C0317,F,51,0,1,57.04,60.56,1,monthly,electronic_check,no,1
C0318,M,37,0,6,97.37,502.92,2,yearly,credit_card,fiber,0
C0319,M,46,0,18,67.63,1188.28,2,two_year,electronic_check,dsl,0
C0320,F,40,0,1,106.19,111.09,1,yearly,mailed_check,no,0
C0321,F,43,0,13,58.16,630.11,1,yearly,electronic_check,dsl,0
C0322,M,50,0,18,81.97,1701.16,3,yearly,credit_card,dsl,0
C0323,F,30,0,8,54.12,485.54,1,two_year,bank_transfer,fiber,0
C0324,M,71,1,29,128.63,3738.04,5,monthly,bank_transfer,fiber,1
C0325,F,27,0,2,45.31,107.55,2,monthly,bank_transfer,no,1
C0326,F,25,0,1,82.75,80.03,3,monthly,credit_card,dsl,1
C0327,F,58,0,26,90.84,2819.2,0,monthly,credit_card,dsl,0
C0328,M,53,0,13,85.34,1183.94,3,yearly,electronic_check,fiber,1
C0329,M,50,0,23,70.37,1705.7,0,yearly,electronic_check,fiber,0
C0330,F,50,0,11,71.75,683.79,4,yearly,credit_card,no,0
C0331,M,41,0,5,76.1,438.63,1,monthly,mailed_check,fiber,1
C0332,F,29,0,34,71.32,2354.55,2,yearly,credit_card,dsl,0
C0333,F,43,0,32,99.1,2742.75,3,monthly,electronic_check,fiber,0
C0334,M,32,0,23,130.26,2411.89,1,yearly,electronic_check,dsl,0
C0335,M,55,0,6,61.06,375.12,0,yearly,electronic_check,no,0
C0336,M,39,0,17,40.75,700.34,2,monthly,mailed_check,dsl,0
C0337,M,30,0,8,72.79,633.41,2,monthly,credit_card,fiber,0
C0338,F,37,0,1,139.49,161.26,2,monthly,electronic_check,dsl,1
C0339,M,47,0,49,54.91,2237.93,0,yearly,credit_card,dsl,0
C0340,M,34,0,2,115.98,253.44,3,two_year,electronic_check,fiber,0
C0341,F,30,0,60,116.94,6139.1,5,yearly,electronic_check,no,0
C0342,F,45,0,11,61.16,769.15,1,monthly,electronic_check,dsl,0
C0343,F,45,0,4,89.22,402.43,2,monthly,credit_card,no,1
C0344,F,34,0,15,115.71,1763.97,2,yearly,electronic_check,dsl,0
C0345,M,35,0,41,65.52,2912.23,6,yearly,credit_card,fiber,0
C0346,M,45,0,26,69.91,1682.68,1,monthly,credit_card,fiber,0
C0347,F,21,0,32,60.46,1912.41,2,monthly,electronic_check,fiber,0
C0348,F,22,0,21,49.63,1176.32,1,yearly,bank_transfer,no,0
C0349,M,31,0,23,58.77,1329.69,1,monthly,electronic_check,dsl,1
C0350,M,39,0,37,44.4,1549.36,2,monthly,credit_card,dsl,1
C0351,M,46,0,5,75.85,378.37,0,monthly,credit_card,fiber,0
C0352,M,62,0,13,55.75,819.91,4,monthly,electronic_check,fiber,1
C0353,M,54,0,5,80.84,377.56,2,two_year,bank_transfer,dsl,0
C0354,F,39,0,72,36.1,2260.02,3,two_year,credit_card,dsl,0
C0355,F,41,0,57,83.27,5148.91,1,yearly,electronic_check,fiber,0
C0356,F,27,0,1,95.84,108.34,1,monthly,bank_transfer,dsl,1
C0357,F,41,0,24,25.16,507.38,3,monthly,bank_transfer,fiber,0
C0358,M,37,0,51,84.35,3854.24,2,monthly,bank_transfer,fiber,0
C0359,F,46,0,3,105.69,271.66,2,monthly,electronic_check,dsl,1
C0360,M,30,0,16,44.76,672.6,0,yearly,electronic_check,fiber,0
C0361,M,49,0,49,116.81,5610.02,1,monthly,electronic_check,no,1
C0362,M,63,0,1,85.48,93.99,2,monthly,credit_card,fiber,0
C0363,M,40,0,23,57.37,1399.29,0,monthly,electronic_check,fiber,0
C0364,M,47,0,7,73.61,540.19,4,monthly,electronic_check,fiber,1
C0365,M,51,0,51,88.96,4269.05,5,monthly,electronic_check,dsl,0
